,currency,year,date,title,score,emotion
81,比特幣,2021,Feb 21,[新聞] 特斯拉上月投資比特幣 獲利已達10億美元,13,positive
82,比特幣,2021,Feb 20,"[新聞] 市值破1兆美元！比特幣創新高56,609、AWS",5,positive
83,比特幣,2021,Feb 19,Fw: [新聞] 7.8兆級貝萊德進軍加密貨幣 基金納比特幣期貨只是開始,34,very positive
84,比特幣,2021,Feb 19,[閒聊] 比特幣在哪些國家的人民手中呢？,0,neutral
85,比特幣,2021,Feb 19,[閒聊] 找到比特幣的紙錢包QR code,1,neutral
86,比特幣,2021,Feb 18,[新聞] 末日博士再轟比特幣是泡沫！稱「原始人,-7,negative
87,比特幣,2021,Feb 15,Re: [新聞] 比特幣才創天價卻遇駭客 上千萬元被盜,3,neutral
88,比特幣,2021,Feb 15,[新聞] 比特幣才創天價卻遇駭客 上千萬元被盜,-7,negative
89,比特幣,2021,Feb 14,[交易] 大額比特幣轉換為法幣的合法管道?,0,neutral
90,比特幣,2021,Feb 14,[新聞] 《黑天鵝效應》作者：我在脫手比特幣，,-2,negative
91,比特幣,2021,Feb 12,"[新聞] 比特幣連創新高「首破49,000鎂」！Fed重",18,positive
92,比特幣,2021,Feb 11,Fw: [問卦] 波動大的比特幣怎麼當支付工具？,16,positive
93,比特幣,2021,Feb 10,Re: [新聞] 特斯拉投資15億美元比特幣,5,positive
94,比特幣,2021,Feb  9,[新聞] 曾被馬斯克「請教」！他說比特幣是最稀,21,very positive
95,比特幣,2021,Feb  9,[閒聊] 請問Mara 槓桿比特幣？,7,positive
96,比特幣,2021,Feb  9,[新聞] RBC預測：蘋果是下一個購買比特幣的企業,24,very positive
97,比特幣,2021,Feb  8,[新聞] 特斯拉投資15億美元比特幣,0,neutral
98,比特幣,2021,Feb  7,[新聞] 《CS:GO》玩家將可「拿積分賺比特幣」,33,very positive
99,比特幣,2021,Feb  6,[新聞] 一枚要價94萬台幣　比特幣ATM現身西門町,16,positive
100,以太幣,2021,Jun  6,[新聞] V神 : 建議「狗狗幣與以太坊合作」提高可,19,positive
101,以太幣,2021,Jun  5,[新聞] SpaceX發射以太坊節點！合作SpaceChain送,15,positive
102,以太幣,2021,Jun  3,[新聞] 諾頓 LifeLock 推「以太坊挖礦」功能， ,15,positive
103,以太幣,2021,Jun  1,[新聞] 以太坊手續費創 1 月以來新低！平均交易,-7,negative
104,以太幣,2021,May 26,[新聞] 以太幣創辦人：馬斯克優化狗狗幣言論 存,10,positive
105,以太幣,2021,May 17,以太坊取代比特幣,1,neutral
106,以太幣,2021,May  6,Re: [挖礦] 我的以太坊可能跑哪去(發幣),5,positive
107,以太幣,2021,May  6,Re: [挖礦] 我的以太坊可能跑哪去(發幣),2,neutral
108,以太幣,2021,May  5,[挖礦] 我的以太坊可能跑哪去(發幣),6,positive
109,以太幣,2021,May  4,[行情] 以太幣會一直漲到多少？,0,neutral
110,以太幣,2021,May  2,[支付] 以太坊交易gas設定太低,2,neutral
111,以太幣,2021,May  2,[Coin] 以太幣錢包的地址，大小寫英文有差嗎？,0,neutral
112,以太幣,2021,Apr 29,[Coin]請問以太幣ERC20的問題,-1,neutral
113,以太幣,2021,Apr 28,[新聞] 在波場的流通量超車以太坊，Tether CTO :,17,positive
114,以太幣,2021,Apr  3,[閒聊] 為何能把以太幣轉到幣安鏈？有風險嗎？,0,neutral
115,以太幣,2021,Mar 21,[閒聊] 新手求問 以太幣短期不賣 適合2.0質押嗎,4,positive
116,以太幣,2021,Mar 14,[閒聊] 新韭專用 以太相容的低手續費 DeFi 平台,0,neutral
117,以太幣,2021,Mar  9,"[新聞] AV女優「上原亞衣」喊以太坊：ETH破1,700",15,positive
118,以太幣,2021,Mar  2,[閒聊] 以太幣從Bito 到 Kraken 的手續費問題,0,neutral
119,以太幣,2020,Dec 17,[新聞] 苦等3年！CME宣布明年2月推出「以太坊期,30,very positive
120,以太幣,2020,Dec 12,[新聞] WordPress廣告可賺「以太幣」，新外掛 Et,15,positive
121,以太幣,2020,Dec  5,[新聞] 以太坊2.0「挖礦收益」也要繳稅？美國會,20,very positive
122,以太幣,2020,Nov  5,[新聞] 以太坊2.0預計12月正式發布；存款合約上,9,positive
123,以太幣,2020,Oct 16,[發錢] 用以太坊地址接收66顆CKB,1,neutral
124,以太幣,2020,Oct  5,[新聞] V神 : 以太坊2.0基礎層擴容要「再等幾年,4,positive
125,以太幣,2020,Aug 14,[閒聊] 以太幣挖礦的黃金時機 ft. GPUMINE 朱昱翰,3,neutral
126,以太幣,2020,Jul 27,[新聞] 比特幣衝破1萬美元！美中衝突、以太幣飆,6,positive
127,以太幣,2020,Jul  4,[新聞] 以太鏈上有閃電網12倍的BTC,3,neutral
128,以太幣,2020,Mar  6,[閒聊] Ethereum的翻譯-以太坊? 乙太坊?,6,positive
129,以太幣,2020,Jan 31,[新聞] 商品期貨交易委員會主席：以太坊期貨即將,5,positive
130,以太幣,2019,Dec 12,[閒聊] 中文網址讓我搜不到東西,1,neutral
131,以太幣,2019,Dec  9,[新聞] 以太坊成功完成「伊斯坦堡硬分叉 Istanbu,9,positive
132,以太幣,2019,Dec  3,[新聞] 以太坊 2.0 即將開始過渡，大家都在關注,31,very positive
133,以太幣,2019,Nov 28,[新聞] 以太坊 Vitalik 回顧：區塊鏈 5 年前的 1,17,positive
134,以太幣,2019,Sep 23,[閒聊] Crosslink 2019 Taiwan 以太坊年度盛會,9,positive
135,以太幣,2019,Sep 18,[閒聊] 以太坊全網手續費超越比特幣,3,neutral
136,以太幣,2019,Sep 18,[新聞] BitPay 打開「以太幣支付」的大門！,15,positive
137,以太幣,2019,Sep 15,[新聞] Tether交易量過大造成以太坊ETH擁堵,7,positive
138,以太幣,2019,Aug 22,[閒聊] 以太錢包看不到代幣的話(Custom Toke）,14,positive
139,以太幣,2019,Aug 11,Re: [新聞] 買以太幣 到超商櫃檯繳費,21,very positive
140,以太幣,2019,Aug  8,[新聞] 買以太幣 到超商櫃檯繳費,13,positive
141,以太幣,2019,May 15,Re: [Coin] 以太坊接班人 Dexon !!!!!!!!!!!!!!!! ,23,very positive
142,以太幣,2019,May 14,[Coin] 以太坊接班人 Dexon !!!!!!!!!!!!!!!!,12,positive
143,以太幣,2019,May 13,[新聞] 曾是全台第三大以太幣礦場 祈樂公司疑吸,-2,negative
144,以太幣,2019,Apr 25,[新聞] 傳三星開發基於以太坊的區塊鏈 或將發行,7,positive
145,以太幣,2019,Apr 23,[新聞] 以太坊仍是企業區塊鏈採用的主流,12,positive
146,以太幣,2019,Apr  7,[新聞] 「末日博士」Roubini 與以太坊 Buterin ,8,positive
147,以太幣,2019,Mar 30,[新聞] 比特大陸吳忌寒：ASIC會讓以太坊更去中心,25,very positive
148,以太幣,2019,Mar 21,[新聞] 以太坊創始人：區塊鏈將在10年後的經濟,8,positive
149,以太幣,2019,Mar 13,[新聞] 美國證管會主席確認以太幣並不被視為證券,26,very positive
150,以太幣,2019,Mar 11,[新聞] 超過80%以太幣「集中」在7000個錢包地址,16,positive
151,以太幣,2019,Mar  2,[閒聊] 讓玩家可以使用以太坊標準ERC20,93,very positive
152,以太幣,2019,Feb 25,[新聞] 以太坊君士坦丁堡硬分叉：預計於228舉行,14,positive
153,以太幣,2019,Feb 20,[新聞] 以太坊政治鬥爭暗潮洶湧，社群輿論不理性,2,neutral
154,以太幣,2019,Feb  3,[新聞] 以太坊 2.0 首發預先版本「基本功能完整,10,positive
155,以太幣,2019,Jan 15,[問題] 請問以太幣升級，需要做什麼動作嗎,4,positive
156,以太幣,2019,Jan 10,[閒聊] 以太突然一個暴跌,-1,neutral
157,以太幣,2019,Jan  7,[新聞] 以太坊挖礦新算法 ProgPoW批准！ASIC比起,30,very positive
158,以太幣,2018,Dec 19,[新聞] 巴西國有銀行：將透過以太坊發行穩定幣,15,positive
159,以太幣,2018,Dec 17,[閒聊] 以太貓搶救大作戰—北科大教授錢包救援,-1,neutral
160,以太幣,2018,Dec  6,[新聞] 【快訊】以太幣「跌破100美元」，比特幣,-5,negative
161,以太幣,2018,Dec  6,[新聞] 以太坊區塊鏈上出現了一款新代幣，它不是,23,very positive
162,以太幣,2018,Sep 25,[新聞] V神:用Zcash技術，以太坊可以擴展至500tx,25,very positive
163,以太幣,2018,Sep 12,[行情] 以太怎麼了,-2,negative
164,以太幣,2018,Aug 26,[閒聊] 以太坊智能合約佈署地址預測,1,neutral
165,以太幣,2018,Aug  9,[新聞] 以太坊10月前君士坦丁堡硬分插,7,positive
166,以太幣,2018,Jul 23,[新聞] 以太坊交易費超越比特幣 不代表擴容性較,3,neutral
167,以太幣,2018,Jul 22,[閒聊] 以太幣交易速度,0,neutral
168,以太幣,2018,Jul 21,[新聞] Fomo3D進入中國市場，資金池瘋漲2億，以太網塞車,51,very positive
169,以太幣,2018,Jul 16,[新聞] 以太坊開發人員稱：EOS透過空投攻擊造成網路塞車,-7,negative
170,以太幣,2018,Jul 15,[新聞] 完善加密貨幣市場，以太幣期貨、比特幣 E,15,positive
171,以太幣,2018,Jun 25,[閒聊] 以太坊怎麼混幣？,3,neutral
172,以太幣,2018,Jun 17,[新聞] 以太坊重要更新：Casper與sharding將混合升級,19,positive
173,以太幣,2018,Jun 15,[新聞] SEC高官宣布：以太坊不是證券，不列入監管範圍,21,very positive
174,以太幣,2018,Jun 14,[新聞] 黑客事件不斷 以太幣慘遭毒手  ,-2,negative
175,以太幣,2018,Jun  3,[新聞] V神：第二層解決方案以太坊交易能力將達100萬/s,7,positive
176,以太幣,2018,Jun  1,[閒聊] 以太錢包裡面到Token轉出問題,1,neutral
177,以太幣,2018,May 31,[閒聊] 以太跌逾10%請問各位先知適合再加碼嗎？,4,positive
178,以太幣,2018,May 29,[新聞] 「以太幣昨日閃崩10%」外媒：可能為EOS拋售,2,neutral
179,以太幣,2018,May 19,[新聞] 陸首次發布全球公有鏈技術排名 以太坊奪,-1,neutral
180,以太幣,2018,May  3,[新聞] 交易所Bitrue在台開放公測 送以太幣,23,very positive
181,以太幣,2018,Apr 28,[新聞] 壓對寶！玩3年「以太幣」海撈千萬　18歲,19,positive
182,以太幣,2018,Apr 25,[新聞] 黃立成：目標剩三種幣，比特 以太 秘銀,17,positive
183,以太幣,2018,Apr 25,[新聞] 新以太坊改進協議,21,very positive
184,以太幣,2018,Apr 22,[Coin] 關於以太轉pos（已爬文）,0,neutral
185,以太幣,2018,Apr 15,[新聞] 120枚以太幣失竊　他報警揪賊竟逮親生兒,-13,negative
186,以太幣,2018,Apr  6,[分享] 幾乎免費的以太網址（ENS）,11,positive
187,以太幣,2018,Apr  6,[新聞] 以太再跌下去......真的考慮要買這個幣了,3,neutral
188,以太幣,2018,Mar 27,Fw: [新聞] 以太幣專屬挖礦晶片來了！超微Nvidia不妙,3,neutral
189,以太幣,2018,Mar 15,Re: [Coin] 以太坊虛擬貨幣與ICO的交易成本看法,0,neutral
190,以太幣,2018,Mar 14,[閒聊] 以太坊虛擬貨幣與ICO的交易成本看法,-5,negative
191,以太幣,2018,Mar 12,[Coin] 以太坊交易中的Gas Price 與 Gas Limit,6,positive
192,以太幣,2018,Mar 10,[新聞] V神對以太坊擴展性方案plasma提出新構想,12,positive
193,以太幣,2018,Mar  9,[新聞] Bitmain將打造ASIC晶片 恐影響以太幣供應,13,positive
194,以太幣,2018,Mar  8,[新聞] 「以太坊的可擴展性」閃電網路有新的競爭對手,20,very positive
195,以太幣,2018,Mar  7,[Coin]使用以太坊發行虛擬貨幣教學-3驗證ICO,4,positive
196,以太幣,2018,Mar  5,[Coin] 使用以太坊發行虛擬貨幣教學-2,9,positive
197,以太幣,2018,Mar  5,[閒聊] 使用以太坊發行虛擬貨幣教學-1,3,neutral
198,以太幣,2018,Mar  3,[閒聊] 查看以太坊，秘銀(Mithril)為例,3,neutral
199,以太幣,2018,Mar  3,［問題］以太坊ERC20 token開發相關問題,9,positive
200,狗狗幣,2021,Jun  6,[新聞] V神 : 建議「狗狗幣與以太坊合作」提高可,19,positive
201,狗狗幣,2021,Jun  4,[新聞] 中國男子買狗狗幣翻了100倍 結果無法套現,15,positive
202,狗狗幣,2021,Jun  3,Re: [Coin] 狗狗幣的通膨屬性 是最大優勢,10,positive
203,狗狗幣,2021,Jun  3,[Coin] 狗狗幣的通膨屬性 是最大優勢,10,positive
204,狗狗幣,2021,Jun  2,[新聞] Coinbase Pro即將上架狗狗幣，Doge飆漲24,8,positive
205,狗狗幣,2021,May 27,[新聞] 偏愛狗狗幣原因？馬斯克：因為有狗狗和,5,positive
206,狗狗幣,2021,May 26,[新聞] 以太幣創辦人：馬斯克優化狗狗幣言論 存,10,positive
207,狗狗幣,2021,May 23,[新聞] 「神秘巨鯨」再買狗狗幣是巧合？外界猜,10,positive
208,狗狗幣,2021,May 22,[新聞] 爆紅狗狗幣 台幣可以買到 幣託全台首發,10,positive
209,狗狗幣,2021,May 17,[閒聊] 假設狗狗幣要升級?,3,neutral
210,狗狗幣,2021,May 17,[閒聊] 比特幣 VS 狗狗幣,0,neutral
211,狗狗幣,2021,May 16,[閒聊] 狗狗幣：藏在「迷因貨幣」背後的深意,38,very positive
212,狗狗幣,2021,May 16,[新聞] 狗狗幣漲翻天！他「歐印」身家成千萬富,18,positive
213,狗狗幣,2021,May 15,[新聞] 馬斯克從 2019 年就開始合作」狗狗幣開發,26,very positive
214,狗狗幣,2021,May 15,Re: [閒聊] 柴犬幣對照狗狗幣 有做夢的機會嗎？ ,7,positive
215,狗狗幣,2021,May 15,[閒聊] 柴犬幣對照狗狗幣 有做夢的機會嗎？,4,positive
216,狗狗幣,2021,May 14,[新聞] 「狗狗幣是泡沫資產」價值投資大師 Jerem,-4,negative
217,狗狗幣,2021,May 13,"[新聞] Vitalik大倒貨狗狗家族！6,300萬鎂 SHIB ",12,positive
218,狗狗幣,2021,May 13,[閒聊] 狗狗幣也反應疫情嗎,1,neutral
219,狗狗幣,2021,May 10,[新聞] 狗狗幣起死回生！SpaceX 火箭明年發射「D,1,neutral
220,狗狗幣,2021,May  7,[閒聊] 本周的狗狗幣SNL 賣/買? Dochi,4,positive
221,狗狗幣,2021,May  5,Re: [新聞] 狗狗幣今年飆逾11000％！專家：「教父」,4,positive
222,狗狗幣,2021,May  5,Re: [新聞] 狗狗幣今年飆逾11000％！專家：「教父」,4,positive
223,狗狗幣,2021,May  5,[新聞] 狗狗幣今年飆逾11000％！專家：「教父」,12,positive
224,狗狗幣,2021,May  4,[新聞] MLB狗狗幣支付｜大聯盟奧克蘭運動家隊開,11,positive
225,狗狗幣,2021,May  4,"[行情] 狗狗幣破 0.45, 衝啊！",6,positive
226,狗狗幣,2021,May  3,[交易] 新手請問買狗狗幣,3,neutral
227,狗狗幣,2021,Apr 30,[新聞] 馬斯克自封「狗狗幣教父」 狗狗幣聞訊飆,9,positive
228,狗狗幣,2021,Apr 23,[新聞] 美33歲男子砸身家買狗狗幣 現成百萬美元,24,very positive
229,狗狗幣,2021,Apr 22,[閒聊] 狗狗幣在盤整嗎,0,neutral
230,狗狗幣,2021,Apr 22,[挖礦] 來自太陽的狗狗,1,neutral
231,狗狗幣,2021,Apr 21,[新聞] 水管工也瘋炒狗狗幣！彭博：幣圈散戶力量,5,positive
232,狗狗幣,2021,Apr 21,Re: [閒聊] 狗狗幣跟4/20的關聯性?,17,positive
233,狗狗幣,2021,Apr 21,Re: [閒聊] 狗狗幣跟4/20的關聯性?,5,positive
234,狗狗幣,2021,Apr 20,[新聞] 還敢玩？狗狗幣市值逾兆 僅約百位大戶控,6,positive
235,狗狗幣,2021,Apr 19,[新聞] 狗狗幣今年飆逾8000％！2021年漲最兇的10,15,positive
236,狗狗幣,2021,Apr 19,[閒聊] 狗狗幣今晚能重回0.4嗎?,1,neutral
237,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,1,neutral
238,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,-2,negative
239,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,3,neutral
240,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,4,positive
241,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,4,positive
242,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,2,neutral
243,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,3,neutral
244,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,3,neutral
245,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,0,neutral
246,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,2,neutral
247,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,3,neutral
248,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,-2,negative
249,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,0,neutral
250,狗狗幣,2021,Apr 19,Re: [閒聊] 狗狗幣跟4/20的關聯性?,4,positive
251,狗狗幣,2021,Apr 19,[閒聊] 狗狗幣跟4/20的關聯性?,-1,neutral
252,狗狗幣,2021,Apr 18,[挖礦] 如何挖狗狗教學,2,neutral
253,狗狗幣,2021,Apr 17,[新聞] 狗狗幣1週飆漲300％ 專家警告：小心泡沫,1,neutral
254,狗狗幣,2021,Apr 17,[閒聊] 關於如何購買狗狗幣,2,neutral
255,狗狗幣,2021,Apr 16,[發錢] 狗狗幣大噴火翻桌不講武德!,1,neutral
256,狗狗幣,2021,Apr 16,[新聞] 狗狗幣0.29美元新高！攻佔第八大、一週大,7,positive
257,狗狗幣,2021,Feb 20,[閒聊] 狗狗幣好像要成立基金會正在籌備中,8,positive
258,狗狗幣,2021,Feb 19,[新聞] 台灣央行｜大篇幅介紹狗狗幣：密碼通貨和,15,positive
259,狗狗幣,2021,Feb 16,[新聞] 馬斯克最後通牒 : 「狗狗幣大戶」把幣賣,17,positive
260,狗狗幣,2020,Jul 11,[新聞] 狗狗幣大賭場！幣安開啟「DOGE 50倍槓桿,6,positive
261,狗狗幣,2018,Sep  1,[新聞] Dogethereum?狗狗幣24小時上漲54%，兩天翻一倍,23,very positive
262,狗狗幣,2018,Jan  3,[閒聊] 明年狗年，狗狗幣會上月球嗎？,3,neutral
263,狗狗幣,2017,Dec 29,[Coin] 狗狗幣與達世幣綜合體-交子幣推廣,9,positive
